AMATH 583 COOMATRIX
32
32
0 25 9.012835472362505e-01 
0 29 8.550710197794582e-01 
1 5 2.513699299895065e-01 
1 21 6.331029532631407e-01 
1 27 4.673218934178920e-01 
2 1 1.494393940779564e-01 
2 8 8.643367299178321e-01 
2 9 3.385360354271420e-03 
2 18 9.616471924640458e-01 
3 21 8.051520440751463e-01 
4 19 9.102077763109504e-01 
5 3 8.949420875380477e-01 
5 15 4.497526420512016e-01 
5 16 5.518210463001491e-01 
5 20 8.339440211811774e-01 
5 26 2.934183274830777e-01 
6 0 9.902030401817538e-01 
6 14 7.645472575745300e-01 
6 16 3.152608630784139e-01 
7 10 8.427706476500121e-01 
7 13 5.514320379828253e-01 
7 14 2.357760082165599e-01 
7 17 1.456554979764184e-03 
7 25 2.481157026477697e-01 
8 1 3.721990619656625e-01 
8 30 1.992705968205215e-01 
9 5 5.343811989456327e-01 
9 17 3.348484161937835e-01 
9 20 9.214115347347276e-01 
9 28 8.685682815818899e-01 
10 4 7.897086035412311e-01 
10 10 6.914402771235632e-01 
10 22 6.711807566095054e-01 
11 1 5.358183190859008e-01 
11 9 6.214816573175982e-01 
11 13 9.682639362142719e-01 
11 31 6.139411910501966e-01 
12 28 4.477298229223722e-01 
12 29 2.147229882957055e-01 
13 28 6.645171938764477e-01 
14 2 4.310935178916406e-02 
14 9 3.558436885270493e-01 
14 21 7.525978906790716e-01 
14 22 5.664455311216626e-01 
15 13 3.295490612879158e-01 
15 17 8.926218002534573e-01 
15 29 7.734162154483685e-01 
16 19 7.268557794051504e-01 
16 30 7.993258204307992e-01 
17 14 5.016865630176321e-01 
17 20 3.194726041143167e-01 
17 30 3.027489168116585e-01 
18 1 5.800126165058522e-01 
18 16 2.993161726274137e-01 
18 20 9.964456064610023e-01 
20 3 7.181697072080195e-01 
20 19 7.856830827825159e-01 
20 20 4.440787716042617e-01 
21 6 8.321419543736344e-01 
21 13 8.042388487626979e-01 
22 3 1.808330873869514e-01 
22 20 5.949143979674738e-01 
23 31 2.965781950841556e-01 
24 2 3.492258621143298e-01 
24 24 8.429964607781714e-01 
25 11 8.868542769396930e-01 
25 22 2.920130157340379e-01 
25 26 9.775432175852093e-01 
26 17 9.016392929021452e-01 
26 26 6.292819034444550e-01 
27 29 5.896619593676469e-01 
28 3 5.451411509630928e-01 
28 8 1.389987115464167e-02 
28 11 9.407814526654693e-01 
28 25 7.874583209806394e-01 
29 2 1.381651550243446e-01 
29 14 4.757188914696308e-01 
29 17 1.438031835219838e-01 
29 18 7.236506094800545e-02 
30 1 2.593227011427854e-01 
30 4 8.660158970700651e-01 
30 12 6.128513415403903e-01 
30 28 6.404055234232943e-01 
31 8 1.400114563945734e-01 
31 11 2.317863610721130e-02 
31 17 6.791812780681911e-01 
31 18 6.384505017839607e-01 
31 27 5.107377537110530e-01 
31 28 1.532303859261937e-01 
31 31 8.308969777221312e-01 
THIS IS THE END
